User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: RNA QUANTIFLUOR,Date: 20/10/2013,Time: 15:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48
Raw Data (Em Spectrum),549,89489,185713,121431,12548,13766,10813,46149,82836,40554,6346,6031,4779,16248,25043,14859,3175,3431,4099,7447,9597,7311,1739,4877,1797,3929,5432,4397,1296,1542,1115,2783,3461,2722,1008,1089,889,1717,1906,1111,909,786,2684,1590,749,792,603,733,647
Raw Data (Em Spectrum),551,89684,184013,121404,12787,14007,11193,46640,83356,41017,6512,6130,4963,16610,25305,15083,3270,3504,4149,7523,9881,7415,1782,4893,1828,3995,5551,4552,1317,1655,1142,2872,3521,2816,1000,1106,905,1741,1941,1142,969,742,2684,1635,758,801,619,757,669
Raw Data (Em Spectrum),553,88693,181251,121046,12834,14089,11359,46687,83276,41226,6604,6245,5008,16656,25543,15255,3320,3588,4314,7740,10080,7507,1868,4929,1886,4090,5627,4530,1362,1758,1130,2850,3660,2805,1011,1107,930,1749,1972,1163,941,784,2636,1653,736,794,611,752,661
Raw Data (Em Spectrum),555,87216,177255,119195,12907,14247,11511,46245,82431,41058,6669,6298,5070,16827,25516,15337,3361,3595,4280,7816,10143,7546,1871,4896,1901,4133,5706,4472,1340,1833,1107,2892,3767,2884,1002,1167,905,1792,1949,1159,1002,793,2599,1699,750,801,617,764,686
Raw Data (Em Spectrum),557,85248,172648,116662,12863,14227,11610,45883,81091,40410,6662,6329,5030,16867,25466,15244,3406,3621,4314,7728,10112,7465,1889,4858,1867,4154,5624,4335,1388,1938,1130,2903,3754,2822,1021,1122,923,1762,1939,1144,981,766,2554,1664,739,806,603,742,677
Raw Data (Em Spectrum),559,82182,165998,112917,12600,13867,11525,44701,78207,39708,6575,6259,5014,16587,24925,15020,3329,3641,4194,7683,10012,7389,1903,4729,1851,4082,5530,4244,1331,1964,1117,2828,3704,2793,1008,1110,895,1749,1912,1123,959,780,2469,1600,728,782,570,718,633
Raw Data (Em Spectrum),561,79435,160074,109107,12234,13653,11269,43524,76550,38734,6478,6136,4872,16395,24575,14837,3264,3511,4229,7603,9895,7309,1877,4590,1819,3995,5523,4253,1337,1958,1106,2836,3648,2757,990,1112,890,1771,1873,1119,944,762,2424,1600,727,762,578,708,636
Raw Data (Em Spectrum),563,76195,153003,104685,12040,13147,10713,42005,73379,37370,6293,6035,4825,15919,23677,14405,3252,3460,4118,7362,9567,7118,1784,4484,1775,3904,5335,4080,1285,1932,1079,2758,3494,2743,947,1100,872,1694,1852,1078,933,727,2297,1552,691,768,549,704,613
Raw Data (Em Spectrum),565,74406,148978,102567,11827,13130,10637,41249,72553,37065,6260,6048,4791,15719,23245,14178,3225,3385,4050,7412,9655,7035,1796,4345,1764,3843,5385,4124,1288,1905,1052,2748,3434,2659,955,1053,870,1679,1860,1114,918,749,2233,1551,696,729,574,692,612
Raw Data (Em Spectrum),567,73494,146852,101340,11973,12964,10494,41285,71333,36632,6281,6046,4846,15875,23200,14270,3174,3412,4133,7382,9613,7024,1756,4399,1776,3897,5300,4166,1298,1786,1063,2759,3477,2658,962,1055,847,1692,1883,1086,940,733,2215,1588,693,747,565,693,606
