User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: RNA QUANTIFLUOR,Date: 20/10/2013,Time: 15:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48
Raw Data (Em Spectrum),661,12111,23203,18491,3408,3580,2965,9338,14348,8603,2111,1992,1674,4553,5672,4136,1224,1297,1549,2416,3031,2164,741,1224,728,1549,1741,1317,662,569,556,1092,1165,986,543,490,476,708,728,543,463,443,609,622,437,417,364,430,384
Raw Data (Em Spectrum),663,11721,21879,17585,3209,3489,2900,8736,13690,8106,1941,2039,1583,4253,5521,3944,1128,1289,1443,2291,2907,2137,687,1177,708,1345,1702,1359,673,560,504,1100,1135,960,504,504,476,680,764,518,448,427,574,673,462,455,357,469,406
Raw Data (Em Spectrum),665,11024,20608,16673,2984,3296,2762,8537,13006,7921,1967,1915,1559,4224,5263,3897,1173,1180,1396,2294,2851,2116,750,1128,713,1373,1707,1366,624,512,520,980,1084,965,490,579,475,661,742,557,445,445,579,661,445,438,408,423,393
Raw Data (Em Spectrum),667,10338,19520,15739,2822,3184,2610,7924,12060,7272,1792,1792,1541,4017,4811,3648,1046,1171,1336,2115,2618,1863,715,1046,723,1360,1651,1266,613,590,550,943,1069,873,527,527,487,645,739,566,440,456,582,653,425,409,409,432,385
Raw Data (Em Spectrum),669,9817,18025,14764,2694,2969,2486,7399,11494,6973,1668,1793,1418,3770,4671,3345,1051,1151,1401,2027,2527,1910,734,1051,684,1318,1485,1209,601,601,500,951,1001,884,500,525,484,634,651,517,434,475,567,659,442,425,367,450,417
Raw Data (Em Spectrum),671,9271,17226,13880,2676,2864,2488,7052,10891,6747,1656,1709,1369,3633,4474,3409,1029,1074,1315,1987,2371,1790,725,1011,653,1190,1494,1253,626,582,492,913,984,859,537,501,528,689,689,537,465,465,591,653,447,447,430,438,376
Raw Data (Em Spectrum),673,8726,16412,13023,2549,2759,2377,6788,10149,6177,1738,1556,1413,3475,4335,3074,1031,1079,1318,1881,2492,1795,668,1012,687,1213,1432,1136,630,563,525,1002,974,869,535,487,496,630,659,573,458,468,592,601,439,439,411,449,411
Raw Data (Em Spectrum),675,8343,15266,12713,2563,2583,2430,6566,9629,5953,1664,1624,1358,3431,4085,3063,991,1113,1236,1950,2369,1777,694,970,694,1093,1379,1154,623,572,521,939,929,858,521,511,541,664,623,582,470,490,613,664,449,480,439,470,419
Raw Data (Em Spectrum),677,7846,14306,11621,2444,2521,2379,6143,9308,5642,1637,1604,1299,3263,3874,2924,1026,993,1222,1757,2237,1670,633,993,644,1233,1320,1069,633,589,546,862,1004,840,546,535,502,622,666,546,469,491,578,666,502,447,436,480,404
Raw Data (Em Spectrum),679,7497,13707,11263,2304,2409,2129,5778,8959,5462,1485,1509,1380,3017,3649,2725,994,982,1216,1766,2140,1602,620,1006,667,1158,1357,1076,620,561,561,854,994,865,538,561,503,702,690,561,456,456,632,713,503,480,468,503,444
Raw Data (Em Spectrum),681,7113,12874,10347,2299,2312,2059,5332,8250,5117,1592,1453,1225,2956,3563,2590,948,1023,1213,1668,1984,1453,708,973,733,1225,1301,1099,657,606,556,935,1023,783,594,581,556,670,708,569,543,569,594,632,493,543,505,493,480
Raw Data (Em Spectrum),683,6685,12045,9961,2071,2125,1976,5251,7971,4750,1448,1462,1164,2869,3383,2504,934,1029,1218,1570,2003,1502,731,974,677,1137,1299,1015,636,555,582,893,920,771,528,568,555,650,731,623,528,555,595,663,487,501,528,514,487
Raw Data (Em Spectrum),685,6362,11119,9091,1970,2057,1882,4947,7544,4699,1415,1430,1226,2714,3298,2568,905,919,1109,1663,1853,1459,657,1021,671,1036,1211,1124,657,627,584,948,963,817,642,584,569,642,700,627,540,584,613,686,569,554,525,525,554
Raw Data (Em Spectrum),687,5948,10608,8819,1899,2056,1883,4865,7077,4425,1428,1350,1114,2574,3029,2354,957,1036,1177,1569,1899,1444,706,942,722,1051,1161,1051,659,596,628,847,973,847,659,596,612,690,706,643,581,534,628,722,534,549,549,565,565
Raw Data (Em Spectrum),689,5554,9805,8027,1947,2032,1761,4454,6706,4183,1338,1338,1219,2455,2980,2184,864,948,1118,1524,1863,1524,745,982,745,1050,1253,999,694,643,593,914,931,847,694,643,643,762,728,677,627,660,627,711,576,610,610,627,576
Raw Data (Em Spectrum),691,5423,9357,7941,1802,1930,1820,4412,6434,4155,1213,1342,1250,2574,2831,2316,1085,1048,1158,1452,1673,1415,754,901,754,1121,1324,1066,790,680,680,882,919,827,680,717,643,717,827,717,607,625,717,809,662,625,625,625,588
Raw Data (Em Spectrum),693,4934,8739,7252,1823,1902,1823,4260,5925,3904,1229,1288,1110,2299,2913,2239,971,1011,1189,1486,1724,1407,793,951,773,1011,1149,1011,753,753,733,971,951,892,694,694,713,753,773,674,634,733,733,812,654,654,654,674,694
Raw Data (Em Spectrum),695,4666,8498,7256,1884,1819,1798,4110,5844,3682,1327,1370,1199,2269,2633,2269,878,1027,1113,1584,1755,1434,813,963,813,1027,1177,1092,706,749,749,1006,1006,899,749,728,749,813,878,749,728,685,792,792,621,685,664,749,706
Raw Data (Em Spectrum),697,4940,7955,6378,1763,1902,1623,3780,5311,3317,1299,1299,1067,2250,2690,2134,974,997,1160,1508,1670,1415,881,997,881,1067,1206,1090,812,835,765,997,997,974,696,789,789,812,905,789,812,696,742,835,696,673,742,765,719
Raw Data (Em Spectrum),699,4214,7775,6296,1706,1831,1580,3612,4966,3662,1354,1304,1204,2257,2458,2032,1003,1154,1129,1505,1756,1304,853,1053,928,1179,1229,1154,828,778,828,1003,1053,928,853,778,828,878,878,803,778,778,853,878,778,778,752,752,752
Raw Data (Em Spectrum),701,4470,7130,6252,1700,1837,1700,3346,4689,3099,1399,1344,1152,2221,2523,1892,1015,1124,1179,1399,1728,1426,905,1069,1015,1207,1207,1152,905,850,960,1069,1069,1097,878,850,905,905,960,905,850,768,932,905,850,878,850,850,795
Raw Data (Em Spectrum),703,4063,6584,5664,1750,1868,1661,3292,4567,3055,1305,1394,1186,2165,2610,1957,1216,1157,1275,1453,1690,1394,949,1127,1038,1335,1275,1275,919,919,860,1157,1068,1097,890,919,919,949,1038,979,890,860,979,949,860,949,771,890,919
Raw Data (Em Spectrum),705,3615,6197,5326,1711,1969,1646,3163,4487,3034,1388,1452,1194,1937,2324,2163,1162,1259,1291,1452,1549,1388,1033,1162,1097,1291,1420,1259,1001,1033,936,1130,1323,1130,1033,936,968,1097,1033,1001,1033,1001,1033,1130,968,968,936,936,904
Raw Data (Em Spectrum),707,3850,6020,5285,1610,1855,1680,3010,4340,3115,1540,1365,1470,2205,2555,2100,1260,1330,1330,1680,1645,1540,1225,1260,1120,1330,1365,1295,1120,1050,1085,1085,1225,1190,1015,1050,1050,1050,1155,1050,1015,980,1015,1120,1120,1015,1050,1015,1015
Raw Data (Em Spectrum),709,3395,6217,5035,1678,1945,1678,3052,4120,3090,1411,1449,1373,2250,2441,2060,1259,1373,1526,1678,1678,1488,1106,1297,1144,1259,1449,1373,1144,1106,1144,1221,1297,1297,1144,1221,1182,1106,1106,1068,1068,1106,1068,1259,1068,1106,1030,1106,1144
Raw Data (Em Spectrum),711,3481,5326,4823,1720,1887,1887,2978,4110,3020,1720,1678,1384,2265,2181,2139,1384,1342,1594,1594,1803,1552,1300,1342,1258,1342,1552,1552,1258,1216,1174,1300,1426,1384,1132,1174,1174,1342,1468,1258,1132,1216,1258,1342,1258,1258,1216,1300,1384
Raw Data (Em Spectrum),713,3671,5598,4680,1744,2065,1927,2983,3808,3120,1606,1698,1606,2157,2478,2019,1422,1377,1698,1652,1790,1698,1239,1468,1377,1514,1606,1560,1285,1422,1331,1422,1468,1422,1285,1285,1331,1331,1377,1422,1239,1285,1331,1422,1239,1331,1377,1239,1377
Raw Data (Em Spectrum),715,3425,5389,4684,1914,1964,1914,3022,3677,2770,1713,1914,1612,2367,2569,2065,1461,1461,1662,1813,1914,1964,1511,1561,1511,1713,1813,1612,1511,1511,1511,1561,1561,1511,1410,1561,1410,1461,1360,1511,1410,1511,1511,1410,1410,1410,1410,1461,1410
Raw Data (Em Spectrum),717,3740,5334,4509,2035,2090,1980,3025,3960,2970,1925,1815,1760,2420,2420,2420,1815,1760,1760,1925,2090,1815,1540,1705,1540,1815,1815,1760,1595,1540,1540,1540,1705,1650,1540,1485,1595,1595,1705,1485,1540,1595,1485,1595,1540,1540,1595,1485,1595
Raw Data (Em Spectrum),719,3451,5328,4238,2422,2180,2119,3149,4057,2906,2240,1998,1877,2604,2483,2240,1816,1998,1998,2119,2059,1877,1756,1756,1877,1877,1998,1816,1756,1816,1695,1816,1756,1756,1816,1635,1635,1635,1756,1756,1695,1574,1938,1635,1574,1635,1756,1574,1635
Raw Data (Em Spectrum),721,3560,5172,4299,2351,2418,2284,3493,4030,3157,2082,2351,2082,2418,2687,2620,2015,2149,2015,2418,2284,2284,1746,2082,1814,1948,2284,2082,1814,1881,1881,1948,2015,1881,1948,1746,1746,1881,2015,1948,1746,1881,1881,1746,1881,1814,1814,1948,1881
